name	tablename	schemaname
service_contract_id	queue_messages_1977058079	sys
service_id	queue_messages_1977058079	sys
status	queue_messages_1977058079	sys
validation	queue_messages_1977058079	sys
binary_message_body	queue_messages_2009058193	sys
conversation_group_id	queue_messages_2009058193	sys
conversation_handle	queue_messages_2009058193	sys
fragment_bitmap	queue_messages_2009058193	sys
fragment_size	queue_messages_2009058193	sys
message_enqueue_time	queue_messages_2009058193	sys
message_id	queue_messages_2009058193	sys
message_sequence_number	queue_messages_2009058193	sys
message_type_id	queue_messages_2009058193	sys
next_fragment	queue_messages_2009058193	sys
priority	queue_messages_2009058193	sys
queuing_order	queue_messages_2009058193	sys
service_contract_id	queue_messages_2009058193	sys
service_id	queue_messages_2009058193	sys
status	queue_messages_2009058193	sys
validation	queue_messages_2009058193	sys
binary_message_body	queue_messages_2041058307	sys
conversation_group_id	queue_messages_2041058307	sys
conversation_handle	queue_messages_2041058307	sys
fragment_bitmap	queue_messages_2041058307	sys
fragment_size	queue_messages_2041058307	sys
message_enqueue_time	queue_messages_2041058307	sys
message_id	queue_messages_2041058307	sys
message_sequence_number	queue_messages_2041058307	sys
message_type_id	queue_messages_2041058307	sys
next_fragment	queue_messages_2041058307	sys
priority	queue_messages_2041058307	sys
queuing_order	queue_messages_2041058307	sys
service_contract_id	queue_messages_2041058307	sys
service_id	queue_messages_2041058307	sys
status	queue_messages_2041058307	sys
validation	queue_messages_2041058307	sys
column_guid	filestream_tombstone_2073058421	sys
file_id	filestream_tombstone_2073058421	sys
filestream_value_name	filestream_tombstone_2073058421	sys
oplsn_bOffset	filestream_tombstone_2073058421	sys
oplsn_fseqno	filestream_tombstone_2073058421	sys
oplsn_slotid	filestream_tombstone_2073058421	sys
rowset_guid	filestream_tombstone_2073058421	sys
size	filestream_tombstone_2073058421	sys
status	filestream_tombstone_2073058421	sys
transaction_sequence_num	filestream_tombstone_2073058421	sys
commit_csn	syscommittab	sys
commit_lbn	syscommittab	sys
commit_time	syscommittab	sys
commit_ts	syscommittab	sys
dbfragid	syscommittab	sys
xdes_id	syscommittab	sys
item_guid	filetable_updates_2105058535	sys
oplsn_bOffset	filetable_updates_2105058535	sys
oplsn_fseqno	filetable_updates_2105058535	sys
oplsn_slotid	filetable_updates_2105058535	sys
table_id	filetable_updates_2105058535	sys
has_restricted_text	plan_persist_query_text	sys
is_part_of_encrypted_module	plan_persist_query_text	sys
query_sql_text	plan_persist_query_text	sys
query_text_id	plan_persist_query_text	sys
statement_sql_handle	plan_persist_query_text	sys
batch_sql_handle	plan_persist_query	sys
compile_count	plan_persist_query	sys
context_settings_id	plan_persist_query	sys
initial_compile_start_time	plan_persist_query	sys
is_internal_query	plan_persist_query	sys
last_bind_cpu_time	plan_persist_query	sys
last_bind_duration	plan_persist_query	sys
last_compile_batch_offset_end	plan_persist_query	sys
last_compile_batch_offset_start	plan_persist_query	sys
last_compile_batch_sql_handle	plan_persist_query	sys
last_compile_duration	plan_persist_query	sys
last_compile_memory_kb	plan_persist_query	sys
last_compile_start_time	plan_persist_query	sys
last_execution_time	plan_persist_query	sys
last_optimize_cpu_time	plan_persist_query	sys
last_optimize_duration	plan_persist_query	sys
last_parse_cpu_time	plan_persist_query	sys
last_parse_duration	plan_persist_query	sys
max_compile_memory_kb	plan_persist_query	sys
object_id	plan_persist_query	sys
query_hash	plan_persist_query	sys
query_id	plan_persist_query	sys
query_param_type	plan_persist_query	sys
query_text_id	plan_persist_query	sys
status	plan_persist_query	sys
total_bind_cpu_time	plan_persist_query	sys
total_bind_duration	plan_persist_query	sys
total_compile_duration	plan_persist_query	sys
total_compile_memory_kb	plan_persist_query	sys
total_optimize_cpu_time	plan_persist_query	sys
total_optimize_duration	plan_persist_query	sys
total_parse_cpu_time	plan_persist_query	sys
total_parse_duration	plan_persist_query	sys
